
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:55476        127.0.0.1:49692        TIME_WAIT       0
  TCP    127.0.0.1:55476        127.0.0.1:50702        TIME_WAIT       0
  TCP    127.0.0.1:55476        127.0.0.1:50703        TIME_WAIT       0
  TCP    127.0.0.1:55476        127.0.0.1:53665        TIME_WAIT       0
  TCP    127.0.0.1:55476        127.0.0.1:53666        TIME_WAIT       0
  TCP    127.0.0.1:55476        127.0.0.1:53829        ESTABLISHED     18448
  TCP    127.0.0.1:55476        127.0.0.1:53830        ESTABLISHED     18448
  TCP    127.0.0.1:55476        127.0.0.1:53831        ESTABLISHED     18448
  TCP    127.0.0.1:55476        127.0.0.1:53832        ESTABLISHED     18448
  TCP    127.0.0.1:55476        127.0.0.1:57999        ESTABLISHED     18448
  TCP    127.0.0.1:55477        0.0.0.0:0              LISTENING       23228
  TCP    127.0.0.1:55477        127.0.0.1:49343        ESTABLISHED     23228
  TCP    127.0.0.1:55477        127.0.0.1:49347        ESTABLISHED     23228
  TCP    127.0.0.1:55477        127.0.0.1:50709        TIME_WAIT       0
  TCP    127.0.0.1:55477        127.0.0.1:53651        ESTABLISHED     23228
  TCP    127.0.0.1:55477        127.0.0.1:53652        ESTABLISHED     23228
  TCP    127.0.0.1:55477        127.0.0.1:53653        ESTABLISHED     23228
  TCP    127.0.0.1:55477        127.0.0.1:53654        ESTABLISHED     23228
  TCP    127.0.0.1:55477        127.0.0.1:63239        ESTABLISHED     23228
  TCP    127.0.0.1:57999        127.0.0.1:55476        ESTABLISHED     7812
  TCP    127.0.0.1:60181        0.0.0.0:0              LISTENING       21896
  TCP    127.0.0.1:60181        127.0.0.1:60182        ESTABLISHED     21896
  TCP    127.0.0.1:60182        127.0.0.1:60181        ESTABLISHED     22972
  TCP    127.0.0.1:61913        0.0.0.0:0              LISTENING       18448
  TCP    127.0.0.1:61915        0.0.0.0:0              LISTENING       23228
  TCP    127.0.0.1:61948        0.0.0.0:0              LISTENING       23228
  TCP    127.0.0.1:61948        127.0.0.1:61950        ESTABLISHED     23228
  TCP    127.0.0.1:61949        0.0.0.0:0              LISTENING       18448
  TCP    127.0.0.1:61949        127.0.0.1:61952        ESTABLISHED     18448
  TCP    127.0.0.1:61950        127.0.0.1:61948        ESTABLISHED     22000
  TCP    127.0.0.1:61952        127.0.0.1:61949        ESTABLISHED     7812
  TCP    127.0.0.1:62018        0.0.0.0:0              LISTENING       4868
  TCP    127.0.0.1:63046        127.0.0.1:49329        ESTABLISHED     21924
  TCP    127.0.0.1:63090        127.0.0.1:63091        ESTABLISHED     19556
  TCP    127.0.0.1:63091        127.0.0.1:63090        ESTABLISHED     19556
  TCP    127.0.0.1:63092        127.0.0.1:63093        ESTABLISHED     19556
  TCP    127.0.0.1:63093        127.0.0.1:63092        ESTABLISHED     19556
  TCP    127.0.0.1:63239        127.0.0.1:55477        ESTABLISHED     22000
  TCP    192.168.0.126:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.0.126:49333    34.54.84.110:443       ESTABLISHED     22000
  TCP    192.168.0.126:49336    34.54.84.110:443       ESTABLISHED     7812
  TCP    192.168.0.126:49413    4.213.25.240:443       ESTABLISHED     13112
  TCP    192.168.0.126:49671    35.190.46.17:443       ESTABLISHED     14004
  TCP    192.168.0.126:49684    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:49686    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:49687    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:49689    192.168.0.1:1900       TIME_WAIT       0
  TCP    192.168.0.126:49690    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:49693    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:49695    192.168.0.1:1900       TIME_WAIT       0
  TCP    192.168.0.126:49696    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:49697    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:50701    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:50704    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:50706    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:50707    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:50708    192.168.0.1:1900       TIME_WAIT       0
  TCP    192.168.0.126:50710    142.250.198.195:80     ESTABLISHED     3896
  TCP    192.168.0.126:50711    17.253.87.195:80       ESTABLISHED     3896
  TCP    192.168.0.126:50712    23.215.189.56:80       ESTABLISHED     3896
  TCP    192.168.0.126:50713    23.11.39.161:80        ESTABLISHED     3896
  TCP    192.168.0.126:50714    92.223.95.95:80        ESTABLISHED     3896
  TCP    192.168.0.126:50715    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:50717    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:50718    192.168.0.1:1900       TIME_WAIT       0
  TCP    192.168.0.126:50719    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:50917    23.202.34.235:443      CLOSE_WAIT      21924
  TCP    192.168.0.126:51308    20.195.84.7:443        ESTABLISHED     14172
  TCP    192.168.0.126:51541    31.13.82.51:5222       ESTABLISHED     5808
  TCP    192.168.0.126:51542    192.168.0.1:1900       TIME_WAIT       0
  TCP    192.168.0.126:51543    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:51546    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:51547    49.213.114.45:443      ESTABLISHED     5656
  TCP    192.168.0.126:51548    49.213.95.184:443      ESTABLISHED     5656
  TCP    192.168.0.126:51621    142.250.198.42:443     CLOSE_WAIT      19556
  TCP    192.168.0.126:52043    167.172.4.206:443      ESTABLISHED     2664
  TCP    192.168.0.126:52045    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:52046    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:52047    192.168.0.1:1900       TIME_WAIT       0
  TCP    192.168.0.126:52048    192.168.0.183:7676     TIME_WAIT       0
  TCP    192.168.0.126:52049    20.189.173.10:443      ESTABLISHED     10624
  TCP    192.168.0.126:52248    192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.126:52430    216.239.32.223:443     CLOSE_WAIT      19556
  TCP    192.168.0.126:53064    142.250.198.42:443     ESTABLISHED     22000
  TCP    192.168.0.126:53066    142.250.198.42:443     ESTABLISHED     22000
